"X (Hz)","Ch-1 (dBr)"
100,-0.0847244066407707
104.761575278966,-0.089486782343983
109.749876549306,-0.0906900866565204
114.975699539774,-0.10234481603748
120.450354025878,-0.101665441649698
126.185688306602,-0.107119106290809
132.194114846603,-0.108490715661087
138.488637139387,-0.115342293038212
145.082877849594,-0.123591234427608
151.991108295293,-0.127092313964431
159.228279334109,-0.13949705311905
166.810053720006,-0.149688240849735
174.752840000768,-0.160161213245181
183.073828029537,-0.174732296826703
191.791026167249,-0.187662199068338
200.923300256505,-0.203706283246436
210.490414451202,-0.219562871418412
220.513073990304,-0.232471061002857
231.012970008316,-0.258574692740888
242.012826479438,-0.280876297734699
253.536449397011,-0.307856830513507
265.608778294668,-0.329082256804931
278.255940220712,-0.364660332648036
291.505306282517,-0.398504294991775
305.385550883341,-0.433312814021252
319.926713779738,-0.476176776190156
335.160265093884,-0.514220482415358
351.119173421513,-0.557610103674837
367.837977182863,-0.613800866862877
385.352859371053,-0.655614246243221
403.701725859655,-0.727741337234615
422.92428743895,-0.80026364588496
443.062145758388,-0.889265648641697
464.158883361278,-0.941899783779447
486.260158006535,-1.02476510267336
509.413801481637,-1.10801198099151
533.66992312063,-1.19914229753969
559.081018251222,-1.30229315078835
585.702081805666,-1.41554955364403
613.590727341317,-1.53414782362264
642.807311728431,-1.65232341183568
673.415065775081,-1.78679718250656
705.480231071863,-1.93170113532974
739.072203352577,-2.0813895247378
774.263682681126,-2.24345866411816
811.130830789686,-2.40733502597876
849.753435908643,-2.58741666685785
890.215085445037,-2.78057016980726
932.603346883219,-2.97846302448247
977.009957299224,-3.18367275972427
1023.53102189902,-3.40556796964736
1072.26722201032,-3.64162161774624
1123.32403297803,-3.87881193819552
1176.811952435,-4.13142140866981
1232.84673944206,-4.39803707211017
1291.54966501488,-4.66747759926966
1353.0477745798,-4.9504088766047
1417.4741629268,-5.24573387542592
1484.96826225446,-5.54833107492225
1555.67614393047,-5.85988720342138
1629.75083462064,-6.17815278181626
1707.35264747069,-6.5143604590875
1788.64952905743,-6.85370138191752
1873.81742286038,-7.19928476380575
1963.04065004027,-7.56311106140438
2056.51230834865,-7.91770692613253
2154.43469003188,-8.30632443090379
2257.01971963392,-8.68877168060464
2364.4894126454,-9.07959118605386
2477.07635599171,-9.48295175500394
2595.02421139973,-9.90268873701253
2718.58824273294,-10.3201521070296
2848.0358684358,-10.7591268938268
2983.64724028333,-11.2114424131775
3125.71584968823,-11.6687313199174
3274.54916287772,-12.1409453896437
3430.46928631491,-12.6237990531973
3593.81366380462,-13.1102724672767
3764.93580679246,-13.6152512689903
3944.20605943765,-14.1441095534207
4132.01240011533,-14.6768974482089
4328.76128108305,-15.2226624052937
4534.87850812857,-15.7693236887367
4750.81016210279,-16.3590835712022
4977.0235643321,-16.9674622513413
5214.00828799967,-17.5733142785655
5462.27721768433,-18.199385026844
5722.3676593502,-18.8597311790187
5994.8425031894,-19.5256502041695
6280.29144183424,-20.1993400896815
6579.33224657566,-20.9728598388953
6892.61210434968,-21.7082978809708
7220.80901838545,-22.4803175096102
7564.63327554627,-23.2618709150598
7924.82898353915,-24.1033155360566
8302.17568131972,-24.9487122055714
8697.49002617781,-25.8409693256534
9111.62756115487,-26.76953101299
9545.48456661832,-27.7093672168833
9999.99999999997,-28.6992395820832
